cdigo,cd_pai,nome,CJF,CNJ,JE1G,JE2G,JEFP,JEJE,JETR,JF1G,JF2G,JFJE,JFTNU,JFTR,JFTRU,JME1G,JMETJM,JMU1G,JMUSTM,JT1G,JT2G,JTTST,STF,STJ,TEU
9735,9734,Destruição / Subração / Ocultação de Cadáver,,,X,X,,,,,,,,,,,,,,,,,X,X,
9736,9734,Impedimento ou Perturbação de Cerimônia Funerária (Art. 209),,,X,X,,,,,,,,,,,,,,,,,X,X,
9737,9734,Vilipêndio a Cadáver,,,X,X,,,,,,,,,,,,,,,,,X,X,
9738,9734,Violação a Sepultura (Art. 210),,,X,X,,,,,,,,,,,,,,,,,X,X,
9739,9734,Ultraje / Impedimento ou Perturbação de Culto Religioso,,,X,X,,,,,,,,,,,,,,,,,X,X,
9740,9634,Contra a dignidade sexual,,,X,X,,X,X,,,,,,,,,,,,,,X,X,
9741,9740,Tráfico Internacional de Pessoa para Fim de Exploração Sexual ,,,X,X,,,,,,,,,,,,,,,,,X,X,
9742,9740,Estupro ,,,X,X,,X,X,,,,,,,,,,,,,,X,X,
9743,9740,Atentado Violento ao Pudor,,,X,X,,X,X,,,,,,,,,,,,,,X,X,
9744,9740,Atentado ao Pudor Mediante Fraude,,,X,X,,X,X,,,,,,,,,,,,,,X,X,
9745,9740,Corrupção de Menores,,,X,X,,X,X,,,,,,,,,,,,,,X,X,
9746,9740,Ultraje Público ao Pudor (Ato/Escrito Obsceno),,,X,X,,X,X,,,,,,,,,,,,,,X,X,
9747,9740,Mediação para Servir a Lascívia de Outrem ,,,X,X,,X,X,,,,,,,,,,,,,,X,X,
9748,9740,Posse Sexual Mediante Fraude,,,X,X,,X,X,,,,,,,,,,,,,,X,X,
9749,9740,Assédio Sexual,,,X,X,,X,X,,,,,,,,,,,,,,X,X,
9750,9740,Favorecimento da Prostituição,,,X,X,,X,X,,,,,,,,,,,,,,X,X,
9751,9740,Casa de Prostituição,,,X,X,,X,X,,,,,,,,,,,,,,X,X,
9752,9740,Rufianismo,,,X,X,,X,X,,,,,,,,,,,,,,X,X,
9753,9740,Tráfico Internacional de Pessoas,,,X,X,,,,,,,,,,,,,,,,,X,X,
9754,9740,Tráfico Interno de Pessoas,,,X,X,,,,,,,,,,,,,,,,,X,X,
9755,9634,Contra a Família,,,X,X,,,,,,,,,,,,,,,,,X,X,
9756,9755,Crimes Contra a Assistência Familiar,,,X,X,,,,,,,,,,,,,,,,,X,X,
9757,9756,Abandono Material,,,X,X,,,,,,,,,,,,,,,,,X,X,
9758,9756,Abandono Intelectual,,,X,X,,,,,,,,,,,,,,,,,X,X,
9759,9756,Entrega de Filho Menor a Pessoa Inidônea,,,X,X,,,,,,,,,,,,,,,,,X,X,
9760,9755,Crimes contra o Casamento,,,X,X,,,,,,,,,,,,,,,,,X,X,
9761,9760,Bigamia,,,X,X,,,,,,,,,,,,,,,,,X,X,
9762,9760,Conhecimento Prévio de Impedimento,,,X,X,,,,,,,,,,,,,,,,,X,X,
9763,9760,Induzimento a erro essencial e ocultação de impedimento,,,X,X,,,,,,,,,,,,,,,,,X,X,
9764,9760,Simulação de Casamento,,,X,X,,,,,,,,,,,,,,,,,X,X,
9765,9760,Simulação de Autoridade para Celebração de Casamento,,,X,X,,,,,,,,,,,,,,,,,X,X,
9766,9755,Crimes Contra o Estado de Filiação,,,X,X,,,,,,,,,,,,,,,,,X,X,
9767,9766,Parto Suposto (Art. 242),,,X,X,,,,,,,,,,,,,,,,,X,X,
9768,9766,Registro de Nascimento Inexistente (Art. 241),,,X,X,,,,,,,,,,,,,,,,,X,X,
9769,9766,Sonegação do Estado de Filiação (Art. 243),,,X,X,,,,,,,,,,,,,,,,,X,X,
9770,9755,Crime contra o Pátrio-Poder e Tutela,,,X,X,,,,,,,,,,,,,,,,,X,X,
9771,9770,"Induzimento a Fuga, Entrega Arbitrária ou Sonegação de Incapazes (Art. 248)",,,X,X,,,,,,,,,,,,,,,,,X,X,
9772,9770,Subtração de Incapazes (Art. 249),,,X,X,,,,,,,,,,,,,,,,,X,X,
9773,9634,Contra a Incolumidade Pública,,,X,X,,,,,,,,,,,,,,,,,X,X,
9774,9773,Incêndio,,,X,X,,,,,,,,,,,,,,,,,X,X,
9775,9773,Explosão ,,,X,X,,,,,,,,,,,,,,,,,X,X,
9776,9773,Uso de gás tóxico ou asfixiante ,,,X,X,,,,,,,,,,,,,,,,,X,X,
9777,9773,Inundação / Perigo de Inundação,,,X,X,,,,,,,,,,,,,,,,,X,X,
9778,9773,Desabamento ou desmoronamento (art. 256),,,X,X,,,,,,,,,,,,,,,,,X,X,
9779,9773,"Subtração, ocultação ou inutilização de material de salvamento (art. 257)",,,X,X,,,,,,,,,,,,,,,,,X,X,
9780,9773,Difusão de doença ou praga (art. 259),,,X,X,,,,,,,,,,,,,,,,,X,X,
9781,9773,Desastre ferroviário / Perigo de Desastre Ferroviário,,,X,X,,,,,,,,,,,,,,,,,X,X,
9782,9773,Atentado contra a segurança de transporte público,,,X,X,,,,,,,,,,,,,,,,,X,X,
9783,9773,Arremesso de projétil,,,X,X,,,,,,,,,,,,,,,,,X,X,
9784,9773,Atentado contra a segurança de serviços de utilidade pública (art. 265),,,X,X,,,,,,,,,,,,,,,,,X,X,
9785,9773,Interrupção /perturbação de serviços telegráficos/telefônicos (art. 266),,,X,X,,,,,,,,,,,,,,,,,X,X,
9786,9773,Epidemia (art. 267),,,X,X,,,,,,,,,,,,,,,,,X,X,
9787,9773,Emprego de Processo Proibido/Substância não permitida,,,X,X,,,,,,,,,,,,,,,,,X,X,
9788,9773,Invólucro ou recipiente com falsa indicação (art. 275),,,X,X,,,,,,,,,,,,,,,,,X,X,
9789,9773,Falsificação / Corrupção / Adulteração / Alteração de produto destinado a fins terapêuticos ou medicinais,,,X,X,,,,,,,,,,,,,,,,,X,X,
9790,9773,"Exercício Ilegal da Medicina, Arte Dentária ou Farmacêutica (art. 282)",,,X,X,,,,,,,,,,,,,,,,,X,X,
9791,9773,Charlatanismo (Art. 283),,,X,X,,,,,,,,,,,,,,,,,X,X,
9792,9773,Corrupção ou Poluição de Água Potável (Art. 271),,,X,X,,,,,,,,,,,,,,,,,X,X,
9793,9773,Curandeirismo (Art. 284),,,X,X,,,,,,,,,,,,,,,,,X,X,
9794,9773,Envenenamento de Água Potável / Substância Alimentícia ou Medicinal (Art. 270),,,X,X,,,,,,,,,,,,,,,,,X,X,
9795,9773,Falsificação / Corrupção / Adulteração / Alteração de Substância ou Produtos Alimentícios,,,X,X,,,,,,,,,,,,,,,,,X,X,
9796,9773,Infração de Medida Sanitária Preventiva (Art. 268),,,X,X,,,,,,,,,,,,,,,,,X,X,
9797,9773,Omissão de Notificação de Doença (Art. 269),,,X,X,,,,,,,,,,,,,,,,,X,X,
9798,9773,Outras Substâncias Nocivas a Saúde Pública (Art. 278),,,X,X,,,,,,,,,,,,,,,,,X,X,
9799,9773,Substância Destinada à Falsificação (Art. 277),,,X,X,,,,,,,,,,,,,,,,,X,X,
9800,9773,Fabrico / Fornecimento / Aquisição / Posse ou Transporte de Explosivos ou Gás Tóxico ou Asfixiante,,,X,X,,,,,,,,,,,,,,,,,X,X,
9801,9773,Venda de Produtos ou Substância nas Condições dos Artigos 274 e 275 ,,,X,X,,,,,,,,,,,,,,,,,X,X,
9802,9773,Medicamento em Desacordo com Receita Médica,,,X,X,,,,,,,,,,,,,,,,,X,X,
9803,9634,Contra a Paz Pública,,,X,X,,,,,,,,,,,,,,,,,X,X,
9804,9803,Quadrilha ou Bando (art. 288),,,X,X,,,,,,,,,,,,,,,,,X,X,
9805,9803,Incitação ao Crime,,,X,X,,,,,,,,,,,,,,,,,X,X,
9806,9803,Apologia de Crime ou Criminoso,,,X,X,,,,,,,,,,,,,,,,,X,X,
9807,9634,Contra a Fé Pública,,,X,X,,,,,,,,,,,,,,,,,X,X,
9808,9807,Moeda Falsa / Assimilados,,,X,X,,,,,,,,,,,,,,,,,X,X,
9809,9807,Petrechos para falsificação de moeda (art. 291),,,X,X,,,,,,,,,,,,,,,,,X,X,
9810,9807,Emissão de título ao portador sem permissão legal (art. 292),,,X,X,,,,,,,,,,,,,,,,,X,X,
9811,9807,Falsificação de papéis públicos (art. 293),,,X,X,,,,,,,,,,,,,,,,,X,X,
9812,9807,Falsificação do selo ou sinal público (art. 296),,,X,X,,,,,,,,,,,,,,,,,X,X,
9813,9807,Falsificação de documento público,,,X,X,,,,,,,,,,,,,,,,,X,X,
9814,9807,Falsificação de documento particular (art. 298),,,X,X,,,,,,,,,,,,,,,,,X,X,
9815,9807,Falsidade ideológica (art. 299),,,X,X,,,,,,,,,,,,,,,,,X,X,
9816,9807,Falso reconhecimento de firma ou letra (art. 300),,,X,X,,,,,,,,,,,,,,,,,X,X,
9817,9807,"Certidão ou atestado ideologicamente falso (art. 301, caput)",,,X,X,,,,,,,,,,,,,,,,,X,X,
9818,9807,"Falsidade material de atestado ou certidão (art. 301, § 1º)",,,X,X,,,,,,,,,,,,,,,,,X,X,
9819,9807,Falsidade de atestado médico (art. 302),,,X,X,,,,,,,,,,,,,,,,,X,X,
9820,9807,Reprodução ou adulteração de selo ou peça filatélica (art. 303),,,X,X,,,,,,,,,,,,,,,,,X,X,
9821,9807,Uso de documento falso (art. 304),,,X,X,,,,,,,,,,,,,,,,,X,X,
9822,9807,Supressão de documento (art. 305),,,X,X,,,,,,,,,,,,,,,,,X,X,
9823,9807,"Falsificação do sinal empregado no contraste de metal precioso ou na fiscalização alfandegária, ou para outros fins (art. 306)",,,X,X,,,,,,,,,,,,,,,,,X,X,
9824,9807,Falsa identidade ,,,X,X,,,,,,,,,,,,,,,,,X,X,
9825,9807,Fraude de lei sobre estrangeiros,,,X,X,,,,,,,,,,,,,,,,,X,X,
9826,9807,Petrechos de Falsificação de Papéis Públicos,,,X,X,,,,,,,,,,,,,,,,,X,X,
9827,9807,Adulteração de Sinal Identificador de Veículo Automotor,,,X,X,,,,,,,,,,,,,,,,,X,X,
9828,9634,Praticados por Funcionários Públicos Contra a Administração em Geral,,,X,X,,,,,,,,,,,,,,,,,X,X,
9829,9828,"Peculato (art. 312, caput e § 1º)",,,X,X,,,,,,,,,,,,,,,,,X,X,
9830,9828,Peculato mediante erro de outrem (art. 313),,,X,X,,,,,,,,,,,,,,,,,X,X,
9831,9828,"Extravio, sonegação ou inutilização de livro ou documento (art. 314)",,,X,X,,,,,,,,,,,,,,,,,X,X,
9832,9828,Emprego irregular de verbas ou rendas públicas (art. 315),,,X,X,,,,,,,,,,,,,,,,,X,X,
9833,9828,"Concussão (art. 316, caput)",,,X,X,,,,,,,,,,,,,,,,,X,X,
9834,9828,"Excesso de exação (art. 316, §§ 1º e 2º)",,,X,X,,,,,,,,,,,,,,,,,X,X,
9835,9828,Corrupção passiva (art. 317),,,X,X,,,,,,,,,,,,,,,,,X,X,
9836,9828,Facilitação de contrabando ou descaminho (art. 318),,,X,X,,,,,,,,,,,,,,,,,X,X,
9837,9828,Prevaricação,,,X,X,,,,,,,,,,,,,,,,,X,X,
9838,9828,Condescendência criminosa (art. 320),,,X,X,,,,,,,,,,,,,,,,,X,X,
9839,9828,Advocacia administrativa (art. 321),,,X,X,,,,,,,,,,,,,,,,,X,X,
9840,9828,Violência arbitrária (art. 322),,,X,X,,,,,,,,,,,,,,,,,X,X,
9841,9828,Abandono de função (art. 323),,,X,X,,,,,,,,,,,,,,,,,X,X,
9842,9828,Exercício funcional ilegalmente antecipado ou prolongado (art. 324),,,X,X,,,,,,,,,,,,,,,,,X,X,
9843,9828,Violação do sigilo funcional (art. 325),,,X,X,,,,,,,,,,,,,,,,,X,X,
9844,9828,Violação do sigilo de proposta de concorrência (art. 326),,,X,X,,,,,,,,,,,,,,,,,X,X,
9845,9828,Inserção de dados falsos em sistema de informações (art. 313-A),,,X,X,,,,,,,,,,,,,,,,,X,X,
9846,9828,Modificação ou alteração não autorizada de sistema de informações (art. 313-B),,,X,X,,,,,,,,,,,,,,,,,X,X,
9847,9634,Previstos na Legislação Extravagante,,,X,X,,,,,,,,,,,,,,,,,X,X,
9848,9847,Contra a Propriedade Industrial,,,X,X,,,,,,,,,,,,,,,,,X,X,
9849,9848,Contra Patente de Invenção,,,X,X,,,,,,,,,,,,,,,,,X,X,
9850,9848,Contra os Desenhos Industriais,,,X,X,,,,,,,,,,,,,,,,,X,X,
9851,9848,Contra as Marcas,,,X,X,,,,,,,,,,,,,,,,,X,X,
9852,9848,"Cometidos por Meio de Marca, Título de Estabelecimento e Sinal de Propaganda ",,,X,X,,,,,,,,,,,,,,,,,X,X,
9853,9848,Contra Indicações Geográficas e Demais Indicações,,,X,X,,,,,,,,,,,,,,,,,X,X,
9854,9848,De Concorrência Desleal,,,X,X,,,,,,,,,,,,,,,,,X,X,
9855,9847,de Responsabilidade,,,X,X,,,,,,,,,,,,,,,,,X,X,
9856,9847,Contra a Economia Popular,,,X,X,,,,,,,,,,,,,,,,,X,X,
9857,9847,De Abuso de Autoridade (Lei 4.898/1965),,,X,X,,,,,,,,,,,,,,,,,X,X,
9858,9847,De Tráfico Ilícito e Uso Indevido de Drogas,,,X,X,,,,,,,,,,,,,,,,,X,X,
9859,9858,Tráfico de Drogas e Condutas Afins,,,X,X,,,,,,,,,,,,,,,,,X,X,
9860,9858,Posse de Drogas para Consumo Pessoal,,,X,X,,,,,,,,,,,,,,,,,X,X,
9861,9858,Fabricação de Objeto Destinado a Produção de Drogas e Condutas Afins ,,,X,X,,,,,,,,,,,,,,,,,X,X,
9862,9858,"Indução, Instigação ou Auxílio ao Uso de Drogas",,,X,X,,,,,,,,,,,,,,,,,X,X,
9863,9858,Oferecimento de Drogas para Consumo Conjunto,,,X,X,,,,,,,,,,,,,,,,,X,X,
9864,9858,Associação para a Produção e Tráfico e Condutas Afins,,,X,X,,,,,,,,,,,,,,,,,X,X,
9865,9858,Financiamento ou Custeio de Produção ou Tráfico de Drogas,,,X,X,,,,,,,,,,,,,,,,,X,X,
9866,9858,"Colaboração com Grupo, Organização ou Associação Destinados à Produção ou Tráfico de Drogas ",,,X,X,,,,,,,,,,,,,,,,,X,X,
9867,9858,Prescrição Culposa de Drogas,,,X,X,,,,,,,,,,,,,,,,,X,X,
9868,9858,Condução de Embarcação ou Aeronave sob Efeito de Drogas,,,X,X,,,,,,,,,,,,,,,,,X,X,
9869,9847,Responsabilidade Criminal por Danos Nucleares,,,X,X,,,,,,,,,,,,,,,,,X,X,
9870,9847,Contra o Serviço Postal e o Serviço de Telegrama,,,X,X,,,,,,,,,,,,,,,,,X,X,
9871,9847,"Contra a Segurança Nacional, a Ordem Política e Social",,,X,X,,,,,,,,,,,,,,,,,X,X,
9872,9847,Contra o Sistema Financeiro Nacional,,,X,X,,,,,,,,,,,,,,,,,X,X,
9873,9847,Resultante de Preconceito de Raça ou de Cor,,,X,X,,,,,,,,,,,,,,,,,X,X,
9874,9847,Contra a Ordem Tributária,,,X,X,,,,,,,,,,,,,,,,,X,X,
9875,9847,Contra a Ordem Econômica,,,X,X,,,,,,,,,,,,,,,,,X,X,
9876,9847,Contra as Relações de Consumo,,,X,X,,,,,,,,,,,,,,,,,X,X,
9877,9847,Representação caluniosa,,,X,X,,,,,,,,,,,,,,,,,X,X,
9878,9847,Contra o Meio Ambiente,,,X,X,,,,,,,,,,,,,,,,,X,X,
9879,9878,Contra a Fauna,,,X,X,,,,,,,,,,,,,,,,,X,X,
9880,9878,Contra a Flora,,,X,X,,,,,,,,,,,,,,,,,X,X,
9881,9878,Da Poluição,,,X,X,,,,,,,,,,,,,,,,,X,X,
9882,9878,Agrotóxicos (Lei 7.802/89),,,X,X,,,,,,,,,,,,,,,,,X,X,
9883,9878,Atividades Nucleares (Lei 6.453/77),,,X,X,,,,,,,,,,,,,,,,,X,X,
9884,9878,Caça (Lei nº 5.197/67),,,X,X,,,,,,,,,,,,,,,,,X,X,
9886,9878,Genética (Lei nº 8.974/95),,,X,X,,,,,,,,,,,,,,,,,X,X,
9887,9878,"Pesca (Lei nº 5.197/67, Lei nº 7.643/87, Lei 7.679/88, DL 221/67)",,,X,X,,,,,,,,,,,,,,,,,X,X,
9888,9847,"De ""Lavagem"" ou Ocultação de Bens, Direitos ou Valores",,,X,X,,,,,,,,,,,,,,,,,X,X,
9889,9847,Contra as Telecomunicações,,,X,X,,,,,,,,,,,,,,,,,X,X,
9890,9847,Previstos na Lei de Estrangeiros,,,X,X,,,,,,,,,,,,,,,,,X,X,
9891,9847,De Tortura,,,X,X,,,,,,,,,,,,,,,,,X,X,
9892,9847,De Trânsito,,,X,X,,,,,,,,,,,,,,,,,X,X,
9893,9847,Do Sistema Nacional de Armas,,,X,X,,,,,,,,,,,,,,,,,X,X,
9894,9847,De Imprensa,,,X,X,,,,,,,,,,,,,,,,,X,X,
9895,9847,Estatuto da criança e do adolescente,,,X,X,,,,,,,,,,,,,,,,,X,X,
9896,9847,Contra o Mercado de Capitais,,,X,X,,,,,,,,,,,,,,,,,X,X,
9897,9847,De genocídio,,,X,X,,,,,,,,,,,,,,,,,X,X,
9898,9847,Sigilo Telefônico,,,X,X,,,,,,,,,,,,,,,,,X,X,
9899,9847,Da Lei de licitações,,,X,X,,,,,,,,,,,,,,,,,X,X,
9900,9847,Da Lei de remoção de órgãos e tecidos,,,X,X,,,,,,,,,,,,,,,,,X,X,
9901,9847,Praticados contra os índios e a cultura indígena,,,X,X,,,,,,,,,,,,,,,,,X,X,
9903,9847,"Recusa, retardamento ou omissão de dados técnicos indispensáveis à propositura de Ação Civil Pública",,,X,X,,,,,,,,,,,,,,,,,X,X,
9904,9847,Agrários,,,X,X,,,,,,,,,,,,,,,,,X,X,
9905,9847,Relacionados à Comissão Parlamentar de Inquérito,,,X,X,,,,,,,,,,,,,,,,,X,X,
9906,9847,Eleitorais,,,X,X,,,,,,,,,,,,,,,,,X,X,
9907,9847,De Quebra de Sigilo Financeiro,,,X,X,,,,,,,,,,,,,,,,,X,X,
9908,9847,Do Código Brasileiro de Telecomunicações,,,X,X,,,,,,,,,,,,,,,,,X,X,
9909,9847,Estatuto do Idoso,,,X,X,,,,,,,,,,,,,,,,,X,X,
9910,9847,Parcelamento do solo urbano,,,X,X,,,,,,,,,,,,,,,,,X,X,
9911,9847,Falimentares,,,X,X,,,,,,,,,,,,,,,,,X,X,
9912,9847,Militares,,,X,X,,,,,,,,,,,,,,,,,X,X,
9913,9847,Contra a Administração da Justiça - Lei da Ação de Alimentos ,,,X,X,,,,,,,,,,,,,,,,,X,X,
9914,9634,Contravenções Penais,,,X,X,,,,,,,,,,,,,,,,,X,X,
9915,9634,Análogo a Crime Tentado,,,X,X,,,,,,,,,,,,,,,,,X,X,
9916,9634,Análogo a Crime Culposo,,,X,X,,,,,,,,,,,,,,,,,X,X,
9917,9634,Praticados por Particular Contra a Administração em Geral,,,X,X,,,,,,,,,,,,,,,,,X,X,
9918,9917,Usurpação de função pública (art. 328),,,X,X,,,,,,,,,,,,,,,,,X,X,
9919,9917,Resistência (art. 329),,,X,X,,,,,,,,,,,,,,,,,X,X,
9920,9917,Tráfico de influência (art. 332),,,X,X,,,,,,,,,,,,,,,,,X,X,
9921,9917,Corrupção ativa (art. 333),,,X,X,,,,,,,,,,,,,,,,,X,X,
9922,9917,"Impedimento, perturbação ou fraude de concorrência (art. 335)",,,X,X,,,,,,,,,,,,,,,,,X,X,
9923,9917,Inutilização de edital ou de sinal (art. 336),,,X,X,,,,,,,,,,,,,,,,,X,X,
9924,9917,"Subtração ou inutilização de livro ou documento (art. 337, caput)",,,X,X,,,,,,,,,,,,,,,,,X,X,
9925,9917,Desobediência (art. 330),,,X,X,,,,,,,,,,,,,,,,,X,X,
9926,9917,Desacato (art. 331),,,X,X,,,,,,,,,,,,,,,,,X,X,
9927,9917,Contrabando ou descaminho (art. 334),,,X,X,,,,,,,,,,,,,,,,,X,X,
9928,9917,Sonegação de contribuição previdenciária (art. 337-A e Lei 8.212/91),,,X,X,,,,,,,,,,,,,,,,,X,X,
9929,9634,Praticados por Particular Contra a Administração Pública Estrangeira,,,X,X,,,,,,,,,,,,,,,,,X,X,
9930,9929,Corrupção Ativa em Transação Comercial Internacional,,,X,X,,,,,,,,,,,,,,,,,X,X,
9931,9929,Tráfico de Influência em Transação Comercial Internacional,,,X,X,,,,,,,,,,,,,,,,,X,X,
9932,9634,Contra a Administração da Justiça,,,X,X,,,,,,,,,,,,,,,,,X,X,
9933,9932,Reingresso de estrangeiro expulso,,,X,X,,,,,,,,,,,,,,,,,X,X,
9934,9932,Denunciação caluniosa,,,X,X,,,,,,,,,,,,,,,,,X,X,
9935,9932,Comunicação falsa de crime ou de contravenção,,,X,X,,,,,,,,,,,,,,,,,X,X,
9936,9932,Auto-acusação falsa,,,X,X,,,,,,,,,,,,,,,,,X,X,
9937,9932,Falso testemunho ou falsa perícia,,,X,X,,,,,,,,,,,,,,,,,X,X,
9938,9932,Coação no curso do processo,,,X,X,,,,,,,,,,,,,,,,,X,X,
9939,9932,Exercício arbitrário das próprias razões,,,X,X,,,,,,,,,,,,,,,,,X,X,
9940,9932,Fraude processual,,,X,X,,,,,,,,,,,,,,,,,X,X,
9941,9932,Favorecimento pessoal,,,X,X,,,,,,,,,,,,,,,,,X,X,
9942,9932,Favorecimento real,,,X,X,,,,,,,,,,,,,,,,,X,X,
9943,9932,Exercício arbitrário ou abuso de poder,,,X,X,,,,,,,,,,,,,,,,,X,X,
9944,9932,Fuga de pessoa presa ou submetida a medida de segurança,,,X,X,,,,,,,,,,,,,,,,,X,X,
9945,9932,Evasão mediante violência contra a pessoa,,,X,X,,,,,,,,,,,,,,,,,X,X,
9946,9932,Arrebatamento de preso,,,X,X,,,,,,,,,,,,,,,,,X,X,
9947,9932,Motim de presos,,,X,X,,,,,,,,,,,,,,,,,X,X,
9948,9932,Patrocínio infiel,,,X,X,,,,,,,,,,,,,,,,,X,X,
9949,9932,Patrocínio simultâneo ou tergiversação,,,X,X,,,,,,,,,,,,,,,,,X,X,
9950,9932,Sonegação de papel ou objeto de valor probatório,,,X,X,,,,,,,,,,,,,,,,,X,X,
9951,9932,Exploração de prestígio,,,X,X,,,,,,,,,,,,,,,,,X,X,
9952,9932,Violência ou fraude em arrematação judicial,,,X,X,,,,,,,,,,,,,,,,,X,X,
9953,9932,Desobediência a decisão judicial sobre perda ou suspensão de direitos,,,X,X,,,,,,,,,,,,,,,,,X,X,
9955,9634,Contra as Finanças Públicas,,,X,X,,,,,,,,,,,,,,,,,X,X,
9956,9955,Contratação de Operação de Crédito,,,X,X,,,,,,,,,,,,,,,,,X,X,
9957,9955,Inscrição de Despesas Não Empenhadas,,,X,X,,,,,,,,,,,,,,,,,X,X,
9958,9955,Assunção de Obrigação no Último Ano do Mandato ou Legislatura,,,X,X,,,,,,,,,,,,,,,,,X,X,
9959,9955,Ordenação de Despesa Não Autorizada,,,X,X,,,,,,,,,,,,,,,,,X,X,
9960,9955,Prestação de Garantia Graciosa,,,X,X,,,,,,,,,,,,,,,,,X,X,
9961,9955,Não Cancelamento de Restos a Pagar,,,X,X,,,,,,,,,,,,,,,,,X,X,
9962,9955,Aumento de Despesa com Pessoal no Último Ano do Mandato ou Legislatura,,,X,X,,,,,,,,,,,,,,,,,X,X,
9963,9955,Oferta Pública ou Colocação de Títulos no Mercado,,,X,X,,,,,,,,,,,,,,,,,X,X,
9964,9633,Seção Cível,,,X,X,,,,X,X,,,,,,,,,X,X,X,X,X,
9965,9964,Abandono Material,,,X,X,,,,,,,,,,,,,,,,,X,X,
9966,9964,Abandono Intelectual,,,X,X,,,,,,,,,,,,,,,,,X,X,
9967,9964,Maus Tratos,,,X,X,,,,,,,,,,,,,,,,,X,X,
9968,9964,Abuso Sexual,,,X,X,,,,,,,,,,,,,,,,,X,X,
9969,9964,Exploração do Trabalho Infantil,,,X,X,,,,,,,,,,,,,,X,X,X,X,X,
9970,9964,Pobreza,,,X,X,,,,,,,,,,,,,,,,,X,X,
9971,9964,Uso ou Tráfico de Drogas,,,X,X,,,,,,,,,,,,,,,,,X,X,
9972,9964,Adoção Internacional,,,X,X,,,,,,,,,,,,,,,,,X,X,
9973,9964,Adoção Nacional,,,X,X,,,,,,,,,,,,,,,,,X,X,
9974,9964,Adoção de Criança,,,X,X,,,,,,,,,,,,,,,,,X,X,
9975,9964,Adoção de Adolescente,,,X,X,,,,,,,,,,,,,,,,,X,X,
9977,9964,Entrada e Permanência de Menores,,,X,X,,,,,,,,,,,,,,,,,X,X,
9978,9964,Viagem ao Exterior,,,X,X,,,,,,,,,,,,,,,,,X,X,
9979,9964,Trabalho do adolescente,,,X,X,,,,,,,,,,,,,,,,,X,X,
9981,899,Pessoas Jurídicas,,,X,X,,X,X,,,,,,,,,,,,,,X,X,
9984,9617,Em comum / De fato,,,X,X,,,,,,,,,,,,,,,,,X,X,
9985,,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
9986,9985,Garantias Constitucionais,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
9988,9986,Anistia Política,,,,,,,,X,X,X,X,X,X,,,,,X,X,X,X,X,
9989,9986,Direitos Indígenas,,,,,,,,X,X,X,X,X,X,,,,,,,,X,X,
9990,9986,Intervenção em Estado / Município,,,X,X,X,,X,X,X,X,X,X,X,,,,,,,,X,X,X
9991,9985,Responsabilidade da Administração,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,X,X,X
9992,9991,Indenização por Dano Moral,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,X,X,X
9994,10110,Dano Ambiental,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,X,X,X
9995,9992,Serviços de Saúde,,,X,X,X,,X,X,X,X,X,X,X,,,,,,,,X,X,X
9996,9992,Acidente de Trânsito,,,X,X,X,,X,X,X,X,X,X,X,,,,,,,,X,X,X
9997,9985,Atos Administrativos,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
9998,9997,Licenças,,,X,X,X,,X,X,X,X,X,X,X,,,,,X,X,X,X,X,X
9999,9998,Declaração de Bagagem,,,X,X,X,,X,X,X,X,,X,X,,,,,,,,X,X,X
10000,9998,Declaração de Trânsito Aduaneiro,,,X,X,X,,X,X,X,X,,X,X,,,,,,,,X,X,X
10001,9998,Comercialização sem Restrições de Produtos Industrializados,,,X,X,X,,X,X,X,X,,X,X,,,,,,,,X,X,X
10002,9998,Comercialização sem Restrições de Gêneros Alimentícios,,,X,X,X,,X,X,X,X,,X,X,,,,,,,,X,X,X
10003,9998,Comercialização e/ou Utilização sem Restrições de Medicamentos,,,X,X,X,,X,X,X,X,,X,X,,,,,,,,X,X,X
10004,9998,Funcionamento de Comércio de Derivados de Petróleo,,,X,X,X,,X,X,X,X,X,X,X,,,,,,,,X,X,X
10005,9998,Registro de Empresa,,,X,X,X,,X,X,X,X,,X,X,,,,,,,,X,X,X
10006,9998,Funcionamento de Estabelecimentos Empresariais,,,X,X,X,,X,X,X,X,X,X,X,,,,,X,X,X,X,X,X
10007,9998,Registro / Porte de arma de fogo,,,X,X,X,,X,X,X,X,,X,X,,,,,,,,X,X,X
10008,9998,Registro de Aeronave,,,X,X,X,,X,X,X,X,,X,X,,,,,,,,X,X,X
10009,9997,Inquérito / Processo / Recurso Administrativo,,,X,X,X,,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X
10010,9997,"Ato Lesivo ao Patrimônio Artístico, Estético, Histórico ou Turístico",,,X,X,,,,X,X,X,X,X,X,,,,,,,,X,X,
10011,9997,Improbidade Administrativa,,,X,X,,,,X,X,X,X,X,X,X,X,,,X,X,X,X,X,
