Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,JT2G
7704,7690,Lei nº 10.406/02 (Código Civil),arts. 334 a 345,2008-09-30 15:52:52,,,,Pagamento em Consignação,X
7711,7690,Lei nº 10.406/02 (Código Civil),arts. 385 a 388,2008-09-30 15:52:52,,,,Remissão das Dívidas,X
7694,7681,Lei nº 10.406/02 (Código Civil) - arts. 854 a 886;,854 a 886;,2008-09-30 15:52:52,,,,Atos Unilaterais,X
7715,7694,Lei nº 10.406/02 (Código Civil) -,arts. 884 a 886,2008-09-30 15:52:52,,,,Enriquecimento sem Causa,X
7714,7694,Lei nº 10.406/02 (Código Civil),art. 876 a 883,2008-09-30 15:52:52,,,,Pagamento Indevido,X
12980,7681,,,2020-11-04 00:00:00,,,,Direito de Empresa ,X
9580,7681,,,2008-09-30 15:52:52,,,,Espécies de Contratos,X
9581,9580,Lei nº 10.406/02 (Código Civil) -,arts. 710 a 721;,2008-09-30 15:52:52,2020-11-18 14:57:02,,,Agência e Distribuição,X
9602,9580,Lei nº 10.406/02 (Código Civil),- arts. 579 a 585;,2008-09-30 15:52:52,,,,Comodato,X
9588,9580,Lei nº 10.406/02 (Código Civil),art. 722,2008-09-30 15:52:52,,,,Corretagem,X
9589,9580,Lei nº 10.406/02 (Código Civil),- arts. 627 a 652;,2008-09-30 15:52:52,,,,Depósito,X
9591,9580,Lei nº 10.406/02 (Código Civil),- arts. 610 a 626;,2008-09-30 15:52:52,,,,Empreitada,X
9608,9580,Lei Federal nº 8955/94;,art. 2º,2008-09-30 15:52:52,,,,Franquia,X
9593,9580,Lei Federal nº 8245/91;,,2008-09-30 15:52:52,,,,Locação de Imóvel,X
9609,9580,"LEI Nº 10.406/02 (CÓDIGO CIVIL) - ,",arts. 565 a 578;,2008-09-30 15:52:52,,,,Locação de Móvel,X
9603,9580,LEI Nº 10.406/02 (CÓDIGO CIVIL) ;,arts. 586 a 592,2008-09-30 15:52:52,,,,Mútuo,X
9596,9580,Lei nº 10.406/02 (Código Civil),- arts. 593 a 609;,2008-09-30 15:52:52,,,,Prestação de Serviços,X
7691,7681,,,2008-09-30 15:52:52,,,,Inadimplemento,X
7700,7691,Lei nº 10.406/02 (Código Civil),- arts. 408 a 416;,2008-09-30 15:52:52,,,,Cláusula Penal,X
14066,7691,,,2020-11-18 00:00:00,,,,Mora,X
7698,7691,Lei nº 10.406/02 (Código Civil),arts. 402 a 405,2008-09-30 15:52:52,,,,Perdas e Danos,X
10582,7691,Lei nº 10.406/02 (Código Civil),arts. 455 e 607,2008-09-30 15:52:52,,,,Rescisão / Resolução,X
7688,7681,,,2008-09-30 15:52:52,,,,Transmissão,X
4718,7688,Lei nº 10.406/02 (Código Civil),- arts. 286 a 298,2008-09-30 15:52:52,,,,Cessão de Crédito,X
5754,899,Lei 10.406/02 (CCB),"Título I, Capítulo I",2008-09-30 15:52:52,,,,Pessoas naturais,X
7949,5754,Lei 10406/02,"art. 20, parágrafo único",2008-09-30 15:52:52,,,,Direitos da Personalidade ,X
15306,5754,Resolução CNJ n. 270/2018,1º,2024-03-15 11:26:37,,,,Nome Social,X
10431,899,Lei nº 10.406/02 (Código Civil) -,arts. 186; e 927 à 954,2008-09-30 15:52:52,,,,Responsabilidade Civil,X
9633,,,,,,,,DIREITO DA CRIANÇA E DO ADOLESCENTE,X
9964,9633,,,2008-09-30 15:52:52,,,,Seção Cível,X
9969,9964,ECA,60 e seguintes,2008-09-30 15:52:52,,,,Exploração do Trabalho Infantil,X
864,,,,,,,,DIREITO DO TRABALHO,X
2622,864,,,2008-09-30 15:52:52,2020-11-17 16:00:43,,,Aposentadoria e Pensão,X
2624,2622,,,2008-09-30 15:52:52,2020-11-17 15:59:12,,,Complementação de Aposentadoria / Pensão,X
7644,864,,,2008-09-30 15:52:52,2020-11-17 16:39:22,,,Categoria Profissional Especial,X
5276,7644,,,2008-09-30 15:52:52,2020-11-17 16:39:34,,,Advogados,X
5277,7644,,,2008-09-30 15:52:52,2020-11-17 16:39:50,,,Aeronautas,X
7645,7644,,,2008-09-30 15:52:52,2020-11-17 16:39:53,,,Aeroviários,X
5278,7644,,,2008-09-30 15:52:52,2020-11-17 16:40:00,,,Artistas,X
5279,7644,,,2008-09-30 15:52:52,2020-11-17 16:40:09,,,Atleta Profissional,X
5280,7644,,,2008-09-30 15:52:52,2020-11-17 16:40:14,,,Bancários,X
5281,7644,,,2008-09-30 15:52:52,2020-11-17 16:41:35,,,Cabineiros de Elevador,X
5288,7644,,,2008-09-30 15:52:52,2020-11-17 16:41:55,,,Digitadores / Mecanógrafos / Datilógrafos,X
5282,7644,,,2008-09-30 15:52:52,2020-11-17 16:42:06,,,Doméstico,X
5284,7644,,,2008-09-30 15:52:52,2020-11-17 16:42:44,,,"Engenheiro, Arquiteto e Engenheiro Agrônomo",X
5286,7644,,,2008-09-30 15:52:52,2020-11-17 16:43:05,,,Jornalistas,X
5287,7644,,,2008-09-30 15:52:52,2020-11-17 16:43:10,,,Marítimos,X
5289,7644,,,2008-09-30 15:52:52,2020-11-17 16:43:16,,,Médicos,X
5290,7644,,,2008-09-30 15:52:52,2020-11-17 16:43:21,,,Mineiros de Subsolos,X
5291,7644,,,2008-09-30 15:52:52,2020-11-17 16:43:25,,,Músicos Profissionais,X
5293,7644,,,2008-09-30 15:52:52,2020-11-17 16:43:44,,,Operadores Cinematográficos,X
5292,7644,,,2008-09-30 15:52:52,2020-11-17 16:43:55,,,Operadores de Carga e Descarga (Estiva e Capatazia),X
5299,7644,,,2008-09-30 15:52:52,2020-11-17 16:44:08,,,Petroleiros,X
5294,7644,,,2008-09-30 15:52:52,2020-11-17 16:44:18,,,Professores,X
5295,7644,,,2008-09-30 15:52:52,2020-11-17 16:45:01,,,Químicos,X
5296,7644,,,2008-09-30 15:52:52,2020-11-17 16:45:09,,,Radialistas,X
7646,7644,,,2008-09-30 15:52:52,2020-11-17 16:45:18,,,Rural,X
5297,7644,,,2008-09-30 15:52:52,2020-11-17 16:45:38,,,Serviços de Telefonia ou Telegrafia,X
5301,7644,,,2008-09-30 15:52:52,2020-11-17 16:45:47,,,Vigia e Vigilantes,X
1695,864,,,2008-09-30 15:52:52,2020-11-05 16:55:58,,,Direito Coletivo do Trabalho,X
4438,1695,,,2008-09-30 15:52:52,,,,Anulação,X
4435,1695,,,2008-09-30 15:52:52,,,,Aplicabilidade,X
12949,1695,,,2020-11-04 00:00:00,,,,Arbitragem e Mediação no Direito Coletivo ,X
12964,1695,,,2020-11-04 00:00:00,,,,Condutas Antissindicais ,X
12981,1695,,,2020-11-04 00:00:00,,,,Direito de Greve ,X
13044,12981,,,2020-11-04 00:00:00,,,,Abusividade / Ilegalidade,X
13406,13044,,,2020-11-04 00:00:00,,,,Dispensa / Rescisão do Contrato de Trabalho ,X
13483,13044,,,2020-11-04 00:00:00,,,,Multa por Descumprimento de Ordem Judicial ,X
13531,13044,,,2020-11-04 00:00:00,,,,Salário / Pagamento ,X
13617,12981,,,2020-11-17 00:00:00,,,,Indenização Relacionada ao Exercício do Direito de Greve,X
13618,12981,,,2020-11-17 00:00:00,,,,Interdito Proibitório,X
13013,1695,,,2020-11-04 00:00:00,,,,Negociação Coletiva Trabalhista ,X
13048,13013,,,2020-11-04 00:00:00,,,,Acordo e Convenção Coletivos de Trabalho ,X
13481,13048,,,2020-11-04 00:00:00,,,,Multa Convencional ,X
13509,13048,,,2020-11-04 00:00:00,,,,Prevalência do Acordo Coletivo sobre a Convenção Coletiva ,X
13235,13013,,,2020-11-04 00:00:00,,,,Norma Coletiva ,X
13345,13235,,,2020-11-04 00:00:00,,,,Anulação/Nulidade ,X
13347,13235,,,2020-11-04 00:00:00,,,,Aplicabilidade/Cumprimento ,X
13510,13235,,,2020-11-04 00:00:00,,,,Prevalência do Negociado Sobre o Legislado ,X
13563,13235,,,2020-11-04 00:00:00,,,,Vigência/Ultratividade ,X
13016,1695,,,2020-11-04 00:00:00,,,,Organização Sindical ,X
13063,13016,,,2020-11-04 00:00:00,,,,Anulação de Constituição de Sindicato ,X
13105,13016,,,2020-11-04 00:00:00,,,,Comprovação de Repasse de Contribuição ,X
13128,13016,,,2020-11-04 00:00:00,,,,Criação de Sindicato - Desmembramento ,X
13619,13016,,,2020-11-17 00:00:00,,,,Eleição de Dirigente Sindical,X
13155,13016,,,2020-11-04 00:00:00,,,,Enquadramento Sindical ,X
13370,13155,,,2020-11-04 00:00:00,,,,Categoria Econômica ,X
13371,13155,,,2020-11-04 00:00:00,,,,Categoria Profissional ,X
13372,13155,,,2020-11-04 00:00:00,,,,Categoria Profissional Diferenciada ,X
13550,13155,,,2020-11-04 00:00:00,,,,Trabalhador Temporário ,X
13551,13155,,,2020-11-04 00:00:00,,,,Trabalhador Terceirizado ,X
13179,13016,,,2020-11-04 00:00:00,,,,Garantias Sindicais ,X
13426,13179,,,2020-11-04 00:00:00,,,,Estabilidade Provisória ,X
13456,13179,,,2020-11-04 00:00:00,,,,Inamovibilidade de Dirigente Sindical ,X
13489,13179,,,2020-11-04 00:00:00,,,,Outras Garantias Oriundas de Normas da OIT ,X
13276,13016,,,2020-11-04 00:00:00,,,,Receitas Sindicais ,X
13620,13276,,,2020-11-17 00:00:00,,,,Contribuição Assistencial,X
14116,13276,,,2020-12-04 00:00:00,,,,Contribuição Confederativa,X
13621,13276,,,2020-11-17 00:00:00,,,,Contribuição Sindical,X
13622,13276,,,2020-11-17 00:00:00,,,,Contribuição Sindical Rural,X
13477,13276,,,2020-11-04 00:00:00,,,,Mensalidade Sindical ,X
13557,13276,,,2020-11-04 00:00:00,,,,Multa por Atraso de Repasse de Contribuição ,X
13280,13016,,,2020-11-04 00:00:00,,,,Registro de Entidade Sindical ,X
13623,13016,,,2020-11-17 00:00:00,,,,Representação Sindical,X
13625,13623,,,2020-11-17 00:00:00,,,,Depósito Prévio - Recurso Administrativo,X
13624,13623,,,2020-11-17 00:00:00,,,,Unicidade Sindical,X
13021,1695,,,2020-11-04 00:00:00,,,,Poder Normativo ,X
13299,13021,,,2020-11-04 00:00:00,,,,Sentença Normativa ,X
13346,13299,,,2020-11-04 00:00:00,,,,Aplicabilidade ,X
13428,13299,,,2020-11-04 00:00:00,,,,Extensão / Prorrogação ,X
13528,13299,,,2020-11-04 00:00:00,,,,Revisão ,X
7639,864,,,2008-09-30 15:52:52,2020-11-17 15:24:12,,,Direito de Greve / Lockout,X
7640,7639,,,2008-09-30 15:52:52,2020-12-04 18:29:36,,,Interdito Proibitório,X
12936,864,,,2020-11-04 00:00:00,,,,Direito Individual do Trabalho ,X
12948,12936,,,2020-11-04 00:00:00,,,,Anulação / Nulidade de Ato ou Negócio Jurídico ,X
13168,12948,,,2020-11-04 00:00:00,,,,Extrajudicial ,X
13211,12948,,,2020-11-04 00:00:00,,,,Judicial ,X
13626,12936,,,2020-11-17 00:00:00,,,,Aposentadoria e Pensão,X
13627,13626,,,2020-11-17 00:00:00,2020-11-17 15:49:16,,,Complementação de Aposentadoria/Pensão,X
13628,13627,,,2020-11-17 00:00:00,,,,Abono Previsto em Norma Coletiva/Extensão aos Inativos,X
13629,13627,,,2020-11-17 00:00:00,,,,Auxílio/Cesta Alimentação,X
13630,13627,,,2020-11-17 00:00:00,,,,Caixa de Previdência,X
13631,13627,,,2020-11-17 00:00:00,,,,Cheque Rancho - Integração,X
13632,13627,,,2020-11-17 00:00:00,,,,Especial,X
13633,13627,,,2020-11-17 00:00:00,,,,Fonte de Custeio,X
13634,13627,,,2020-11-17 00:00:00,,,,Gratificação de Contingente e/ou Participação nos Resultados - Avanço de Nível,X
13635,13627,,,2020-11-17 00:00:00,,,,Parcelas Que Integram a Aposentadoria,X
13636,13627,,,2020-11-17 00:00:00,,,,Plano de Incentivo,X
13639,13636,,,2020-11-17 00:00:00,,,,Transação,X
13637,13627,,,2020-11-17 00:00:00,,,,Prêmio,X
13638,13627,,,2020-11-17 00:00:00,,,,Reenquadramento,X
13640,13626,,,2020-11-17 00:00:00,,,,Espontânea,X
12950,12936,,,2020-11-04 00:00:00,,,,Arbitragem e Mediação no Direito Individual do Trabalho ,X
12960,12936,,,2020-11-04 00:00:00,,,,Capacidade Civil ,X
13641,12936,,,2020-11-17 00:00:00,,,,Categoria Profissional Especial,X
13642,13641,,,2020-11-17 00:00:00,,,,Administradores,X
13643,13641,,,2020-11-17 00:00:00,,,,Advogados,X
13680,13643,,,2020-11-17 00:00:00,,,,Dedicação Exclusiva,X
13681,13643,,,2020-11-17 00:00:00,,,,Empregados,X
13644,13641,,,2020-11-17 00:00:00,,,,Aeronautas,X
13645,13641,,,2020-11-17 00:00:00,,,,Aeroviários,X
13646,13641,,,2020-11-17 00:00:00,,,,Artistas,X
13647,13641,,,2020-11-17 00:00:00,,,,Assistentes Sociais,X
14117,13641,,,2020-12-04 00:00:00,,,,Atleta Profissional,X
13648,13641,,,2020-11-17 00:00:00,,,,Bancários,X
13682,13648,,,2020-11-17 00:00:00,,,,Cargo de Confiança,X
13683,13648,,,2020-11-17 00:00:00,,,,Divisor de Horas Extras,X
13684,13648,,,2020-11-17 00:00:00,,,,Enquadramento,X
13689,13684,,,2020-11-17 00:00:00,,,,Categoria Diferenciada,X
13691,13684,,,2020-11-17 00:00:00,,,,Empresa de Processamento de Dados,X
13690,13684,,,2020-11-17 00:00:00,,,,Financeiras/Equiparação Bancário,X
13692,13684,,,2020-11-17 00:00:00,,,,isonomia/Diferença Salarial,X
13685,13648,,,2020-11-17 00:00:00,,,,Gerentes/Chefia,X
13686,13648,,,2020-11-17 00:00:00,,,,Gratificação,X
13687,13648,,,2020-11-17 00:00:00,,,,Intervalo Intrajornada,X
13688,13648,,,2020-11-17 00:00:00,,,,Sábado/Dia Útil,X
13649,13641,,,2020-11-17 00:00:00,,,,Bibliotecários,X
13650,13641,,,2020-11-17 00:00:00,,,,Biólogos,X
13651,13641,,,2020-11-17 00:00:00,,,,Cabineiros de Elevador,X
13652,13641,,,2020-11-17 00:00:00,,,,Contabilistas,X
13653,13641,,,2020-11-17 00:00:00,,,,Corretores de Imóveis,X
13654,13641,,,2020-11-17 00:00:00,,,,Corretores de Seguros,X
13655,13641,,,2020-11-17 00:00:00,,,,Digitadores/Mecanógrafos/Datilógrafos,X
13693,13655,,,2020-11-17 00:00:00,,,,Equiparação Salarial,X
13656,13641,,,2020-11-17 00:00:00,,,,Domésticos,X
13657,13641,,,2020-11-17 00:00:00,,,,Economistas,X
13658,13641,,,2020-11-17 00:00:00,,,,Empregados Portuários,X
13694,13658,,,2020-11-17 00:00:00,,,,Adicional de Risco,X
13695,13658,,,2020-11-17 00:00:00,,,,Hora Noturna/Hora Extra,X
13659,13641,,,2020-11-17 00:00:00,,,,Enfermagem/Enfermeiros,X
13660,13641,,,2020-11-17 00:00:00,,,,"Engenheiro, Arquiteto e Engenheiro Agrônomo",X
13696,13660,,,2020-11-17 00:00:00,,,,Piso Salarial,X
13706,13641,,,2020-11-17 00:00:00,,,,Ferroviários,X
13661,13641,,,2020-11-17 00:00:00,,,,Fisioterapeutas/Terapeutas Ocupacionais,X
13662,13641,,,2020-11-17 00:00:00,,,,Jornalistas,X
13663,13641,,,2020-11-17 00:00:00,,,,Marítimos,X
13664,13641,,,2020-11-17 00:00:00,,,,Médicos,X
13665,13641,,,2020-11-17 00:00:00,,,,Mineiros de Subsolos,X
13666,13641,,,2020-11-17 00:00:00,,,,Músicos Profissionais,X
13697,13641,,,2020-11-17 00:00:00,,,,Nutricionistas,X
13676,13641,,,2020-11-17 00:00:00,,,,Operador de Telemarketing,X
13698,13641,,,2020-11-17 00:00:00,,,,Operadores Cinematográficos,X
13699,13641,,,2020-11-17 00:00:00,,,,Operadores de Carga e Descarga (Estiva e Capatazia),X
13700,13641,,,2020-11-17 00:00:00,,,,Outras Categorias Profissionais,X
13678,13641,,,2020-11-17 00:00:00,,,,Petroleiros,X
13705,13678,,,2020-11-17 00:00:00,,,,Jornada,X
13667,13641,,,2020-11-17 00:00:00,,,,Professores,X
13701,13667,,,2020-11-17 00:00:00,,,,Atividade Extraclasse,X
13702,13667,,,2020-11-17 00:00:00,,,,Hora Extra/Adicional,X
13703,13667,,,2020-11-17 00:00:00,,,,Redução Carga Horária,X
13704,13667,,,2020-11-17 00:00:00,,,,Repouso Semanal Remunerado,X
13668,13641,,,2020-11-17 00:00:00,,,,Psicólogos,X
13669,13641,,,2020-11-17 00:00:00,,,,Publicitários,X
13670,13641,,,2020-11-17 00:00:00,,,,Químicos,X
13671,13641,,,2020-11-17 00:00:00,,,,Radialistas,X
13672,13641,,,2020-11-17 00:00:00,,,,Relações Públicas,X
13673,13641,,,2020-11-17 00:00:00,,,,Rural,X
13674,13641,,,2020-11-17 00:00:00,,,,Secretários,X
13675,13641,,,2020-11-17 00:00:00,,,,Serviços de Telefonia ou Telegrafia,X
13677,13641,,,2020-11-17 00:00:00,,,,Técnico em Radiologia,X
13679,13641,,,2020-11-17 00:00:00,,,,Vigia e Vigilantes,X
12961,12936,,,2020-11-04 00:00:00,,,,Comissão de Representantes dos Empregados ,X
13074,12961,,,2020-11-04 00:00:00,,,,Atribuições e Competências ,X
13112,12961,,,2020-11-04 00:00:00,,,,Constituição e Composição ,X
13373,13112,,,2020-11-04 00:00:00,,,,Cessão entre Órgão / Empresa ,X
13412,13112,,,2020-11-04 00:00:00,,,,Eleição ,X
13425,13112,,,2020-11-04 00:00:00,,,,Estabilidade do Representante Eleito ,X
13476,13112,,,2020-11-04 00:00:00,,,,Mandato ,X
13707,12936,,,2020-11-17 00:00:00,,,,Contrato Individual de Trabalho,X
13708,13707,,,2020-11-17 00:00:00,,,,Administração Pública,X
13726,13708,,,2020-11-17 00:00:00,,,,Cessão entre Órgão/Empresa,X
13727,13708,,,2020-11-17 00:00:00,,,,Contratação em Período Eleitoral,X
13728,13708,,,2020-11-17 00:00:00,,,,Contrato Nulo - Efeitos,X
13729,13708,,,2020-11-17 00:00:00,,,,Contrato Temporário,X
13730,13708,,,2020-11-17 00:00:00,,,,Conversão de Regime Jurídico,X
13731,13708,,,2020-11-17 00:00:00,,,,Terceirização,X
13709,13707,,,2020-11-17 00:00:00,,,,Advertência/Suspensão,X
13710,13707,,,2020-11-17 00:00:00,,,,Alteração Contratual ou das Condições de Trabalho,X
13732,13710,,,2020-11-17 00:00:00,,,,Acúmulo de Função,X
13735,13710,,,2020-11-17 00:00:00,,,,Alteração/Revogação de Regulamento da Empresa,X
13739,13735,,,2020-11-17 00:00:00,,,,Programa de Assistência Médica - Benefícios,X
13733,13710,,,2020-11-17 00:00:00,,,,Desvio de Função,X
13737,13710,,,2020-11-17 00:00:00,,,,Mudança de Turno,X
13734,13710,,,2020-11-17 00:00:00,,,,Reversão/Retorno ao Cargo Efetivo,X
13736,13710,,,2020-11-17 00:00:00,,,,Transferência,X
13738,13736,,,2020-11-17 00:00:00,,,,Definitiva/Provisória,X
13711,13707,,,2020-11-17 00:00:00,2022-11-29 15:37:42,,,Contratação de Reabilitados e Pessoas com Deficiência Habilitadas,X
13740,13711,,,2020-11-17 00:00:00,,,,Quota Preenchimento,X
13712,13707,,,2020-11-17 00:00:00,,,,Contrato em Regime de Tempo Parcial,X
13713,13707,,,2020-11-17 00:00:00,,,,Contrato Intermitente,X
13715,13707,,,2020-11-17 00:00:00,,,,Contrato por Prazo Determinado,X
13741,13715,,,2020-11-17 00:00:00,,,,Contrato de Experiência - Nulidade,X
13742,13715,,,2020-11-17 00:00:00,,,,Contrato de Safra,X
13743,13715,,,2020-11-17 00:00:00,,,,Contrato de Trabalho Temporário/Provisório,X
13744,13715,,,2020-11-17 00:00:00,,,,Nulidade,X
13716,13707,,,2020-11-17 00:00:00,,,,CTPS,X
13745,13716,,,2020-11-17 00:00:00,,,,Anotação/Baixa/Retificação,X
13746,13716,,,2020-11-17 00:00:00,,,,Devolução/Retenção,X
13747,13716,,,2020-11-17 00:00:00,,,,Multa Administrativa por Ausência de Registro,X
13717,13707,,,2020-11-17 00:00:00,,,,Enquadramento/Classificação,X
13718,13707,,,2020-11-17 00:00:00,,,,Exame Médico Adminissional/Demissional,X
13719,13707,,,2020-11-17 00:00:00,,,,FGTS,X
13748,13719,,,2020-11-17 00:00:00,,,,Correção Monetária,X
13749,13719,,,2020-11-17 00:00:00,,,,Depósito/Diferenças,X
13750,13719,,,2020-11-17 00:00:00,,,,Levantamento/Liberação,X
13720,13707,,,2020-11-17 00:00:00,,,,inquérito Administrativo - Validade,X
13721,13707,,,2020-11-17 00:00:00,,,,PIS/RAIS - Cadastramento,X
13722,13707,,,2020-11-17 00:00:00,,,,Reconhecimento de Relação de Emprego,X
13751,13722,,,2020-11-17 00:00:00,,,,Atividades Ilícitas,X
13752,13722,,,2020-11-17 00:00:00,,,,Cooperativa de Trabalho,X
13756,13722,,,2020-11-17 00:00:00,,,,Outras Relações de Emprego,X
13753,13722,,,2020-11-17 00:00:00,,,,Policial Militar e Civil,X
13754,13722,,,2020-11-17 00:00:00,,,,Trabalho em Condições Análogas à de Escravo,X
14654,13754,,,2021-03-30 00:00:00,,,,Condições Degradantes,X
14658,13754,,,2021-03-30 00:00:00,,,,Decorrente de Tráfico de Pessoa,X
14655,13754,,,2021-03-30 00:00:00,,,,Jornada Exaustiva,X
14656,13754,,,2021-03-30 00:00:00,,,,Restrição de Locomoção,X
14657,13754,,,2021-03-30 00:00:00,,,,Trabalho Forçado,X
13755,13722,,,2020-11-17 00:00:00,,,,Trabalho sob Aplicativos e/ou Plataformas Digitais,X
13723,13707,,,2020-11-17 00:00:00,,,,Reintegração de Posse - Despejo,X
13724,13707,,,2020-11-17 00:00:00,,,,Suspensão/Interrupção do Contrato de Trabalho,X
13757,13724,,,2020-11-17 00:00:00,,,,Licenças/Afastamentos,X
13761,13757,,,2020-11-17 00:00:00,,,,Afastamento Mulher - Lei Maria da Penha,X
13758,13757,,,2020-11-17 00:00:00,,,,Gestante/Adotante,X
13759,13757,,,2020-11-17 00:00:00,,,,Licença Previdenciária,X
13760,13757,,,2020-11-17 00:00:00,,,,Licença sem Remuneração,X
13762,13757,,,2020-11-17 00:00:00,,,,Outras Licenças,X
13763,13757,,,2020-11-17 00:00:00,,,,Serviço Militar,X
13714,13707,,,2020-11-17 00:00:00,,,,Teletrabalho/Trabalho à Distância/Trabalho em Domicílio,X
13725,13707,,,2020-11-17 00:00:00,,,,Unicidade Contratual,X
12975,12936,,,2020-11-04 00:00:00,,,,Descontos Fiscais ,X
13176,12975,,,2020-11-04 00:00:00,,,,Forma de Cálculo ,X
13191,12975,,,2020-11-04 00:00:00,,,,Incidência em Indenização PDV / PDI ,X
13215,12975,,,2020-11-04 00:00:00,,,,Juros de Mora ,X
13290,12975,,,2020-11-04 00:00:00,,,,Responsabilidade ,X
12976,12936,,,2020-11-04 00:00:00,,,,Descontos Previdenciários ,X
13177,12976,,,2020-11-04 00:00:00,,,,Forma de Cálculo ,X
13291,12976,,,2020-11-04 00:00:00,,,,Responsabilidade ,X
12979,12936,,,2020-11-04 00:00:00,,,,Devolução / Entrega de Objetos / Documentos ,X
13764,12936,,,2020-11-17 00:00:00,,,,Duração do Trabalho,X
13765,13764,,,2020-11-17 00:00:00,,,,Adicional Noturno,X
13777,13765,,,2020-11-17 00:00:00,,,,Prorrogação do Horário Noturno,X
13766,13764,,,2020-11-17 00:00:00,,,,Alteração da Jornada,X
13778,13766,,,2020-11-17 00:00:00,,,,Acordo Individual e/ou Coletivo de Trabalho,X
13779,13766,,,2020-11-17 00:00:00,,,,Trabalho em Domicílio/Teletrabalho,X
13767,13764,,,2020-11-17 00:00:00,,,,Compensação de Jornada,X
13780,13767,,,2020-11-17 00:00:00,,,,Acordo Tácito/Expresso,X
13781,13767,,,2020-11-17 00:00:00,,,,Banco de Horas,X
13782,13767,,,2020-11-17 00:00:00,,,,Compensação em Atividade Insalubre,X
13783,13767,,,2020-11-17 00:00:00,,,,Outros Sistemas de Compensação,X
13784,13767,,,2020-11-17 00:00:00,,,,Regime 12x36,X
13785,13767,,,2020-11-17 00:00:00,,,,Vício Formal - Pagamento do Adicional de Horas Extras,X
13768,13764,,,2020-11-17 00:00:00,,,,Controle de Jornada,X
13786,13768,,,2020-11-17 00:00:00,,,,Cartão de Ponto,X
13769,13764,,,2020-11-17 00:00:00,,,,Horas Extras,X
13787,13769,,,2020-11-17 00:00:00,,,,Adicional de Horas Extras,X
13788,13769,,,2020-11-17 00:00:00,,,,Base de Cálculo,X
13789,13769,,,2020-11-17 00:00:00,,,,Cargo de Confiança,X
13790,13769,,,2020-11-17 00:00:00,,,,Comissionista,X
13791,13769,,,2020-11-17 00:00:00,,,,Contagem de Minutos Residuais,X
13792,13769,,,2020-11-17 00:00:00,,,,Dedução/Abatimento de Horas Extras,X
13793,13769,,,2020-11-17 00:00:00,,,,Divisor,X
13794,13769,,,2020-11-17 00:00:00,,,,Gorjeta,X
13795,13769,,,2020-11-17 00:00:00,,,,Pré-contratação,X
13796,13769,,,2020-11-17 00:00:00,,,,Reflexos,X
13797,13769,,,2020-11-17 00:00:00,,,,Supressão/Redução de Horas Extras/Indenização,X
13770,13764,,,2020-11-17 00:00:00,,,,Horas in Itinere,X
13798,13770,,,2020-11-17 00:00:00,,,,Supressão/Limitação por Norma Coletiva,X
13771,13764,,,2020-11-17 00:00:00,2024-06-10 18:28:26,,,Intervalo Interjornadas,X
13772,13764,,,2020-11-17 00:00:00,,,,Intervalo Intrajornada,X
13799,13772,,,2020-11-17 00:00:00,,,,Adicional de Hora Extra,X
13800,13772,,,2020-11-17 00:00:00,2020-11-17 18:24:19,,,Intervalo 15 Minutos Mulher,X
13801,13772,,,2020-11-17 00:00:00,,,,Jornada Contratual de 6 Horas - Prorrogação,X
13802,13772,,,2020-11-17 00:00:00,,,,Natureza Jurídica da Parcela/Repercussão,X
13803,13772,,,2020-11-17 00:00:00,,,,Redução/Supressão,X
13773,13764,,,2020-11-17 00:00:00,,,,Repouso Semanal Remunerado e Feriado,X
13804,13773,,,2020-11-17 00:00:00,,,,Cálculo/Repercussão,X
13805,13773,,,2020-11-17 00:00:00,,,,Feriado em Dobro,X
13806,13773,,,2020-11-17 00:00:00,,,,Trabalho aos Domingos,X
13774,13764,,,2020-11-17 00:00:00,,,,Sobreaviso/Prontidão/Tempo à Disposição,X
13775,13764,,,2020-11-17 00:00:00,,,,Trabalho Externo,X
13776,13764,,,2020-11-17 00:00:00,,,,Turno Ininterrupto de Revezamento,X
13807,13776,,,2020-11-17 00:00:00,,,,Hora Noturna Reduzida,X
13808,13776,,,2020-11-17 00:00:00,,,,Previsão de 8 Horas - Norma Coletiva,X
13809,12936,,,2020-11-17 00:00:00,,,,Férias,X
13810,13809,,,2020-11-17 00:00:00,,,,Abono Pecuniário,X
13811,13809,,,2020-11-17 00:00:00,,,,Base de Cálculo,X
13812,13809,,,2020-11-17 00:00:00,,,,Férias Coletivas,X
13813,13809,,,2020-11-17 00:00:00,,,,Fruição/Gozo,X
13814,13809,,,2020-11-17 00:00:00,,,,Indenização/Dobra/Terço Constitucional,X
13815,12936,,,2020-11-17 00:00:00,,,,Outras Relações de Trabalho,X
13816,13815,,,2020-11-17 00:00:00,,,,Aprendizagem,X
13819,13815,,,2020-11-17 00:00:00,,,,Cooperado,X
13820,13815,,,2020-11-17 00:00:00,,,,Corretagem,X
13821,13815,,,2020-11-17 00:00:00,,,,Diarista,X
13822,13815,,,2020-11-17 00:00:00,,,,Empreitada,X
13818,13815,,,2020-11-17 00:00:00,,,,Equipe,X
13817,13815,,,2020-11-17 00:00:00,,,,Estágio,X
13823,13815,,,2020-11-17 00:00:00,,,,Mãe Social,X
13824,13815,,,2020-11-17 00:00:00,,,,Mandato,X
