Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,JF1G
10076,10073,Decreto 1832/96,arts. 1º a 64,2008-09-30 15:52:52,,,,Transporte Terrestre,X
10087,10028,CF; LC 80/94; Lei 9020/95,"CF, art. 133 a 135",2008-09-30 15:52:52,,,,Defensoria Pública,X
10051,10028,CF,"art. 208, I, II",2008-09-30 15:52:52,2020-10-08 15:00:01,,,Ensino Fundamental e Médio,X
10062,10051,,,2008-09-30 15:52:52,2020-10-08 14:57:30,,,Educação Pré-escolar,X
10063,10051,,,2008-09-30 15:52:52,2020-10-08 14:57:36,,,Educação Profissionalizante,X
10058,10051,,,2008-09-30 15:52:52,2020-10-08 14:57:45,,,Ensino Especial,X
10055,10051,,,2008-09-30 15:52:52,2020-10-08 14:57:49,,,Exame Nacional de Ensino Médio / ENEM,X
10059,10051,,,2008-09-30 15:52:52,2020-10-08 14:59:25,,,Exame Supletivo,X
10054,10051,,,2008-09-30 15:52:52,2020-10-08 14:59:29,,,Material Didático,X
10053,10051,,,2008-09-30 15:52:52,2020-10-08 14:59:33,,,Matrícula,X
10052,10051,,,2008-09-30 15:52:52,2020-10-08 14:59:38,,,Mensalidade,X
10060,10051,,,2008-09-30 15:52:52,2020-10-08 14:59:43,,,Merenda,X
10056,10051,,,2008-09-30 15:52:52,2020-10-08 14:59:48,,,Penalidades Disciplinares,X
10057,10051,,,2008-09-30 15:52:52,2020-10-08 14:59:51,,,Transferência,X
10061,10051,,,2008-09-30 15:52:52,2020-10-08 14:59:57,,,Transporte,X
10029,10028,CF,art. 207,2008-09-30 15:52:52,2020-10-08 14:57:22,,,Ensino Superior,X
10032,10029,,,2008-09-30 15:52:52,2020-10-08 14:57:18,,,Colação de Grau,X
10037,10029,,,2008-09-30 15:52:52,2020-10-08 14:56:05,,,Colisão de Horário,X
10043,10029,,,2008-09-30 15:52:52,2020-10-08 14:54:28,,,Criação e/ou Autorização para funcionamento de Curso Superior,X
10040,10029,,,2008-09-30 15:52:52,2020-10-08 14:54:19,,,Currículo Escolar,X
10045,10029,,,2008-09-30 15:52:52,2020-10-08 14:52:35,,,Diplomas/Certificado de Conclusão do Curso,X
10033,10029,,,2008-09-30 15:52:52,2020-10-08 14:52:27,,,Exigência de Estágio Profissionalizante,X
10046,10029,,,2008-09-30 15:52:52,2020-10-08 14:48:02,,,Financiamento Privado da Educação e/ou Pesquisa,X
10031,10029,,,2008-09-30 15:52:52,2020-10-08 14:47:58,,,Financiamento Público da Educação e/ou Pesquisa,X
10035,10029,,,2008-09-30 15:52:52,2020-10-08 14:47:35,,,Freqüência às Aulas,X
10041,10029,,,2008-09-30 15:52:52,2020-10-08 14:47:31,,,Ingresso no Curso Superior,X
10042,10029,,,2008-09-30 15:52:52,2020-10-08 14:47:24,,,Jubilamento de Aluno,X
10030,10029,,,2008-09-30 15:52:52,2020-10-08 14:42:25,,,Matrícula,X
10039,10029,,,2008-09-30 15:52:52,2020-10-08 14:42:20,,,Mensalidades,X
10044,10029,,,2008-09-30 15:52:52,2020-10-08 14:44:01,,,Omissão de Entrega de Notas,X
10036,10029,,,2008-09-30 15:52:52,2020-10-08 14:41:24,,,Penalidades Disciplinares,X
10050,10029,,,2008-09-30 15:52:52,2020-10-08 14:39:30,,,Pós-Graduação,X
10048,10029,,,2008-09-30 15:52:52,2020-10-08 14:39:25,,,Provão - Avaliação da Educação Superior,X
10047,10029,,,2008-09-30 15:52:52,2020-10-08 14:39:19,,,Residência Médica,X
10049,10029,L 10.558/2002,,2008-09-30 15:52:52,2020-10-08 14:36:39,,,Sistemas de cotas - Lei 10.558/2002,X
10034,10029,,,2008-09-30 15:52:52,2020-10-08 14:36:30,,,Transferência de Estudante,X
10038,10029,,,2008-09-30 15:52:52,2020-10-08 14:36:22,,,Vestibular,X
10064,10028,CF,art. 196 a 200,2008-09-30 15:52:52,2019-07-04 16:35:44,,,Saúde,X
11855,10064,,,2011-10-05 00:00:00,2019-07-04 16:35:48,,,Controle Social e Conselhos de Saúde,X
10067,10064,,,2008-09-30 15:52:52,2019-07-04 16:35:51,,,Convênio Médico com o SUS,X
11857,10064,,,2011-10-05 00:00:00,2019-07-04 16:35:55,,,Doação e Transplante de Órgãos; Tecidos e Partes do Corpo Humano,X
11852,10064,,,2011-10-05 00:00:00,2019-07-04 16:35:59,,,Financiamento do SUS,X
11884,10064,CF,196,2011-12-07 00:00:00,2019-07-04 16:36:06,,,Fornecimento de Medicamentos,X
10071,10064,,,2008-09-30 15:52:52,2019-07-04 16:36:11,,,Genética / Células Tronco,X
11856,10064,,,2011-10-05 00:00:00,2019-07-04 16:36:14,,,Hospitais e Outras Unidades de Saúde,X
10066,10064,,,2008-09-30 15:52:52,2019-07-04 16:36:17,,,Reajuste da Tabela do SUS,X
10065,10064,,,2008-09-30 15:52:52,2019-07-04 16:36:21,,,Repasse de Verbas do SUS,X
10070,10064,,,2008-09-30 15:52:52,2019-07-04 16:36:24,,,Ressarcimento ao SUS,X
11854,10064,,,2011-10-05 00:00:00,2019-07-04 16:36:26,,,Saúde Mental,X
11993,11854,,,2014-05-29 00:00:00,2019-07-04 16:36:29,,,Internação Compulsória,X
11995,11854,,,2014-05-29 00:00:00,2019-07-04 16:36:31,,,Internação Involuntária,X
11994,11854,,,2014-05-29 00:00:00,2019-07-04 16:36:33,,,Internação Voluntária,X
11851,10064,,,2011-10-05 00:00:00,2019-07-04 16:36:37,,,Terceirização do SUS,X
11883,10064,CF,196,2011-12-07 00:00:00,2019-07-04 16:36:48,,,Tratamento Médico-Hospitalar,X
11885,11883,CF,96,2011-12-16 00:00:00,2019-07-04 16:36:44,,,Unidade de terapia intensiva (UTI) ou unidade de cuidados intensivos (UCI),X
10069,10064,CF,Art. 196,2008-09-30 15:52:52,2011-12-07 07:26:55,,,Tratamento Médico-Hospitalar e/ou Fornecimento de Medicamentos,X
11853,10064,,,2011-10-05 00:00:00,2019-07-04 16:36:51,,,Vigilância Sanitária e Epidemiológica,X
10072,10028,,,2008-09-30 15:52:52,,,,Sistema Nacional do Desporto,X
10219,9985,,,2008-09-30 15:52:52,,,,Servidor Público Civil,X
10254,10219,CF1988,40,2008-09-30 15:52:52,,,,Aposentadoria,X
10256,10254,L 8.112/1990,186 II e 187,2008-09-30 15:52:52,,,,Compulsória,X
10255,10254,L 8.112/1990,"186, I e § 1º.",2008-09-30 15:52:52,,,,Invalidez Permanente,X
14194,10255,CF; Lei 8.112/1990,"186, I e § 1º",2021-01-18 00:00:00,,,,Acidente em Serviço,X
14180,10255,CF; Lei 8.112/1990,"186, I e § 1º",2021-01-18 00:00:00,,,,Moléstia Profissional ou Doença Grave,X
14182,14180,CF; Lei 8.112/1990,"186, I e § 1º",2021-01-18 00:00:00,2021-07-29 15:37:33,,,Alienação Mental,X
14187,14180,CF; Lei 8.112/1990,"186, I e §1º",2021-01-18 00:00:00,2021-07-29 15:37:38,,,Cardiopatia Grave,X
14185,14180,CF; Lei 8.112/1990,"186, I e § 1º",2021-01-18 00:00:00,2021-07-29 15:37:42,,,Cegueira,X
14188,14180,CF; Lei 8.112/1990,"186, I e § 1º",2021-01-18 00:00:00,2021-07-29 15:37:45,,,Doença de Parkinson,X
14183,14180,CF; Lei 8.112/1990,"186, I e § 1º",2021-01-18 00:00:00,2021-07-29 15:37:48,,,Esclerose Múltipla,X
14190,14180,CF; Lei 8.112/1990,"186, I e § 1º",2021-01-18 00:00:00,2021-07-29 15:37:52,,,Espondilaortrose Anquisolante,X
14186,14180,CF; Lei 8.112/1990,"186, I e § 1º",2021-01-18 00:00:00,2021-07-29 15:37:56,,,Hanseníase,X
14192,14180,CF; Lei 8.112/1990,"186, I e § 1º",2021-01-18 00:00:00,2021-07-29 15:38:04,,,Mal de Paget (Osteíte Deformante),X
14191,14180,CF; Lei 8.112/1990,"186, I e § 1º",2021-01-18 00:00:00,2021-07-29 15:38:08,,,Nefropatia Grave,X
14184,14180,CF; Lei 8.112/1990,"186, I e §º 1",2021-01-18 00:00:00,2021-07-29 15:38:12,,,Neoplasia Maligna,X
14189,14180,CF; Lei 8.112/1990,"186, I e § 1º",2021-01-18 00:00:00,2021-07-29 15:38:15,,,Paralisia Irreversível e Incapacitante,X
14193,14180,CF; Lei 8.112/1990,"186, I e § 1º",2021-01-18 00:00:00,2021-07-29 15:38:25,,,Síndrome de Imunodeficiência Adquirida,X
14181,14180,Lei 8.112/1990; CF,"186, I e § 1º",2021-01-18 00:00:00,2021-07-29 15:38:30,,,Tuberculose Ativa,X
10257,10254,L 8.112/1990,186 III,2008-09-30 15:52:52,,,,Voluntária,X
10287,10219,Lei 8112/90,19,2008-09-30 15:52:52,,,,Jornada de Trabalho,X
13186,10287,,,2020-11-04 00:00:00,,,,Horas Extras ,X
13209,10287,,,2020-11-04 00:00:00,,,,Intervalo ,X
15031,10287,Lei nº 8.112/1990,98,2022-03-23 00:00:00,,,,Jornada Especial,X
10258,10219,,,2008-09-30 15:52:52,,,,Licenças / Afastamentos,X
10273,10258,L 8.112/1990,84,2008-09-30 15:52:52,,,,Acompanhamento de Cônjuge ou Companheiro,X
10272,10258,L 8.112/1990,97 II,2008-09-30 15:52:52,,,,Alistamento / Serviço Eleitoral,X
10270,10258,L 8.112/1990,209,2008-09-30 15:52:52,,,,Amamentação,X
10267,10258,L 8.112/1990,81 IV,2008-09-30 15:52:52,,,,Atividade Política,X
10268,10258,L 8.112/1990,97 III a,2008-09-30 15:52:52,,,,Casamento,X
10259,10258,L 8.112/1990,102 VII c,2008-09-30 15:52:52,,,,Dirigente Sindical,X
10271,10258,L 8.112/1990,97 I,2008-09-30 15:52:52,,,,Doação de Sangue,X
10262,10258,L 8.112/1990,"81, I; 83",2008-09-30 15:52:52,,,,Doença em Pessoa da Família,X
10274,10258,L 8.112/1990,18,2008-09-30 15:52:52,,,,Exercício em Outro Município,X
10264,10258,L 8.112/1990,102 VIII a,2008-09-30 15:52:52,,,,Gestante / Adotante / Paternidade,X
10265,10258,L 8.112/1990,"81, VI; 91",2008-09-30 15:52:52,,,,Interesse Particular,X
10260,10258,L 8.112/190,"81, V; 87",2008-09-30 15:52:52,,,,Licença Capacitação (Aperfeiçoamento Profissional),X
10275,10258,L 8.112/1990,"185, I, f; 211 a 214",2008-09-30 15:52:52,,,,Licença por Acidente em Serviço,X
10261,10258,L 8.112/1990,81 V (revogado),2008-09-30 15:52:52,,,,Licença-Prêmio,X
10700,10261,,,2008-09-30 15:52:52,,,,Contagem em Dobro,X
10701,10261,,,2008-09-30 15:52:52,,,,Pagamento em Pecúnia,X
10269,10258,L 8.112/1990,"97, III, b",2008-09-30 15:52:52,,,,Luto,X
10266,10258,L 8.112/1990,"81, III",2008-09-30 15:52:52,,,,Serviço Militar,X
10263,10258,L 8.112/1990,"102, VIII, b",2008-09-30 15:52:52,,,,Tratamento da Própria Saúde,X
10250,10219,,,2008-09-30 15:52:52,,,,Pensão,X
10252,10250,Lei 8112/90,art. 215,2008-09-30 15:52:52,,,,Concessão,X
10251,10250,L 8.112/1990,221,2008-09-30 15:52:52,,,,Provisória,X
10253,10250,Lei 8112/90,arts. 215 a 225,2008-09-30 15:52:52,,,,Restabelecimento,X
14195,10253,Lei 8.112/1990,"217, IV e § 3º",2021-01-18 00:00:00,,,,Maioridade,X
13295,10250,,,2020-11-04 00:00:00,,,,Revisão ,X
10279,10219,,,2008-09-30 15:52:52,,,,Processo Administrativo Disciplinar ou Sindicância,X
10281,10279,Lei 8112/90,"Art. 127, I, 129",2008-09-30 15:52:52,,,,Advertência,X
10280,10279,L 8.112/1990,33 II,2008-09-30 15:52:52,,,,Demissão ou Exoneração,X
10283,10279,CF,"Art. 37, § 6º",2008-09-30 15:52:52,,,,Responsabilidade Civil do Servidor Público / Indenização ao Erário,X
10282,10279,Lei 8112/90,"Art. 127, II, 130",2008-09-30 15:52:52,,,,Suspensão,X
10286,10219,Lei 9468/97,arts. 1º a 14,2008-09-30 15:52:52,,,,Programa de Desligamento Voluntário (PDV),X
10313,10219,CF,"art. 37, X",2008-09-30 15:52:52,,,,"Reajustes de Remuneração, Proventos ou Pensão",X
10946,10313,,,2008-09-30 15:52:52,,,,Correção Monetária de Diferenças Pagas em Atraso,X
14196,10313,DL 2.335/1987 (Plano Bresser); Lei 7.730/1989,28 e 29,2021-01-18 00:00:00,,,,"Índice da URP - 26,05% (1989)",X
14197,10313,DL 2.335/1987 (Plano Bresser),,2021-01-18 00:00:00,,,,"Índice da URP - 26,06% (1987)",X
10314,10313,,,2008-09-30 15:52:52,,,,Índice da URV fev/1989,X
10318,10313,,,2008-09-30 15:52:52,,,,Índice da URV Lei 8.880/1994,X
10321,10313,,,2008-09-30 15:52:52,,,,"Índice de 10,87% Lei 10.192/2001",X
10317,10313,,,2008-09-30 15:52:52,,,,"Índice de 28,86% Lei 8.622/1993 e 8.627/1993",X
10316,10313,,,2008-09-30 15:52:52,,,,Índice de 45% Lei 8.237/1991,X
10322,10313,,,2008-09-30 15:52:52,,,,"Índice de 47,94% Lei 8.676/1993",X
10315,10313,,,2008-09-30 15:52:52,,,,"Índice de 84,32% março/1990",X
10320,10313,,,2008-09-30 15:52:52,,,,Índice do IPC junho/1987,X
10319,10313,,,2008-09-30 15:52:52,,,,Reajuste da Lei 8.270/1991,X
10220,10219,CF,39,2008-09-30 15:52:52,,,,Regime Estatutário,X
10225,10220,CF; Lei 8.112/90,"CF, art. 37, XVI; Lei 8.112/90, art. 118 a 120",2008-09-30 15:52:52,,,,Acumulação de Cargos,X
14200,10225,CF; Lei 8.112/1990,"CF, art. 37, XVI; Lei 8.112/90, art. 118 a 120",2021-01-18 00:00:00,,,,Limite de Carga Horária - Jornada Semanal,X
14198,10225,CF; Lei 8.112/1990,"CF, art. 37, XVI; Lei 8.112/90, art. 118 a 120",2021-01-18 00:00:00,,,,Natureza do Cargo Acumulável,X
14199,10225,CF; Lei 8.112/1990,"CF, art. 37, XVI; Lei 8.112/90, art. 118 a 120",2021-01-18 00:00:00,,,,Regime de Dedicação Exclusiva,X
10231,10220,Lei 8.878/94,1º,2008-09-30 15:52:52,,,,Anistia Administrativa,X
11937,10220,,,2012-06-06 00:00:00,,,,Desvio de Função,X
10227,10220,CF,"37, VII",2008-09-30 15:52:52,,,,Direito de Greve,X
10234,10220,CF,41,2008-09-30 15:52:52,,,,Disponibilidade / Aproveitamento,X
10223,10220,Lei 8.112/90,243,2008-09-30 15:52:52,,,,Enquadramento,X
10222,10220,CF,41,2008-09-30 15:52:52,,,,Estabilidade,X
10238,10220,CF,41,2008-09-30 15:52:52,,,,Estágio Probatório,X
10241,10220,L 8.112/1990,"33 I,; 15 § 2º; 34",2008-09-30 15:52:52,2020-11-04 16:14:44,,,Exoneração ou Demissão,X
10235,10220,Lei 8112/90,"arts. 20, § 3º; 37, § 1º; 93, §7º",2008-09-30 15:52:52,,,,Lotação,X
10239,10220,CF ; Lei 8.112/90,"37, II; 9º (lei 8.112/90)",2008-09-30 15:52:52,,,,Nomeação,X
10240,10220,Lei 8112/90,art. 13 a 20,2008-09-30 15:52:52,,,,Posse e Exercício,X
10236,10220,Lei 8112/90,art. 17,2008-09-30 15:52:52,,,,Promoção / Ascensão,X
14201,10236,Lei 10.855/04; Decreto 84.669/80,10 e 19,2021-01-18 00:00:00,,,,Progressão Funcional com Interstício de Doze Meses,X
10237,10220,Lei 8.112/90,24,2008-09-30 15:52:52,,,,Readaptação,X
10224,10220,L 8.112/1990,29,2008-09-30 15:52:52,,,,Recondução,X
10233,10220,L 8.112/1990,37,2008-09-30 15:52:52,,,,Redistribuição,X
10230,10220,CF; Lei 8.112/90,"CF, art. 40; Lei 8112/90, art. 183 e segs.",2008-09-30 15:52:52,,,,Regime Previdenciário,X
10226,10220,L 8.112/1990,28,2008-09-30 15:52:52,2020-11-04 16:15:26,,,Reintegração ou Readmissão,X
10229,10220,Lei 8.112/90,36,2008-09-30 15:52:52,,,,Remoção,X
10232,10220,L 8.112/1990,25 a 27,2008-09-30 15:52:52,,,,Reversão,X
10228,10220,Lei 8112/90,"arts. 8º, VI, 25, 27",2008-09-30 15:52:52,,,,Transferência,X
10288,10219,,,2008-09-30 15:52:52,,,,Sistema Remuneratório e Benefícios,X
10662,10288,CF,"Art. 40, § 19",2008-09-30 15:52:52,,,,Abono de Permanência,X
10294,10288,Lei 8112/90,Art. 78,2008-09-30 15:52:52,,,,Abono Pecuniário (Art. 78 Lei 8.112/1990),X
10638,10288,Lei 8112/90,art. 118,2008-09-30 15:52:52,,,,Acumulação de Proventos,X
10293,10288,Lei 8112/90,71,2008-09-30 15:52:52,,,,Adicional de Fronteira,X
10303,10288,Lei 8.112/90,"Art. 61, V; 73 e 74",2008-09-30 15:52:52,,,,Adicional de Horas Extras,X
10291,10288,Lei 8.112/90,"Arts. 61, IV; 68 e 69",2008-09-30 15:52:52,,,,Adicional de Insalubridade,X
10292,10288,Lei 8.112/90,"Arts. 61, IV; 68 e 69",2008-09-30 15:52:52,,,,Adicional de Periculosidade,X
10309,10288,,,2008-09-30 15:52:52,,,,Adicional de Produtividade,X
10308,10288,Lei 8.112/90,"61,VI e 75",2008-09-30 15:52:52,,,,Adicional de Serviço Noturno,X
10302,10288,L 8.112/1990,"61 III, 67 § único",2008-09-30 15:52:52,,,,Adicional por Tempo de Serviço,X
10244,10288,L 8.112/1990,230,2008-09-30 15:52:52,,,,Assistência à Saúde,X
10245,10288,L 8.069/1990; D 977/1993,"54, IV; 1º segs.",2008-09-30 15:52:52,,,,Assistência Pré-escolar,X
10304,10288,Lei 8112/90,"art. 61, VIII",2008-09-30 15:52:52,,,,Auxílio-Alimentação,X
10248,10288,L 8.112/1990,"185 II b, 226 a 228",2008-09-30 15:52:52,,,,Auxílio-Funeral,X
10246,10288,L 8.112/1990,"185, I, b; 196",2008-09-30 15:52:52,,,,Auxílio-Natalidade,X
10247,10288,L 8.112/1990,"185 II c, 229",2008-09-30 15:52:52,,,,Auxílio-Reclusão,X
10306,10288,Lei 8112/90,"arts. 51, III, 60",2008-09-30 15:52:52,,,,Auxílio-transporte,X
10243,10288,Lei 8186/91,art. 1º a 6º,2008-09-30 15:52:52,,,,Complementação de Benefício/Ferroviário,X
10300,10288,Lei 7238/84,arts. 1º a 15,2008-09-30 15:52:52,,,,Data Base,X
10296,10288,Lei 8112/90,arts. 45 e 46,2008-09-30 15:52:52,,,,Descontos Indevidos,X
10298,10288,L 8.112/1990,51,2008-09-30 15:52:52,,,,Diárias e Outras Indenizações,X
14708,10298,Lei 8.112/1990,"51, I",2021-07-29 00:00:00,,,,Ajuda de Custo,X
14709,10298,Lei 8.112/1990,"51, IV",2021-07-29 00:00:00,,,,Auxílio-Moradia,X
14710,10298,Lei 8.112/1990,"51, II",2021-07-29 00:00:00,,,,Diárias,X
14711,10298,Lei 8.112/1990,"51, III",2021-07-29 00:00:00,,,,Indenização de Transporte,X
10301,10288,Lei 8112/90,art. 77,2008-09-30 15:52:52,,,,Férias,X
14712,10301,Lei 8.112/1990,77 a 80,2021-07-29 00:00:00,,,,Conversão em Pecúnia,X
10883,10301,Lei 8.112/1990,77 a 80,2008-09-30 15:52:52,,,,Fruição / Gozo,X
10884,10301,Lei 8.112/1990,77 a 80,2008-09-30 15:52:52,,,,Indenização / Terço Constitucional,X
10290,10288,Lei 10.187/01,arts. 1º a 8º,2008-09-30 15:52:52,,,,Gratificação de Incentivo,X
14716,10290,Lei 367/1936; Lei 1.711/1952; Lei 3.780/1960,"160 e 252, II, 1º",2021-07-29 00:00:00,2021-07-29 17:13:38,,,Gratificação de Biênio (Adicional Bienal),X
14713,10290,Lei 9.678/1998; Decreto 2.668/1998; Lei 11.087/2005; Lei 11.344/2006; lei 11.784/2008,1º,2021-07-29 00:00:00,,,,Gratificação de Estímulo à Docência no Magistério Superior - GED,X
14714,10290,DL 2.357/1987; Lei 9.624/1998,2º,2021-07-29 00:00:00,,,,Gratificação de Estímulo à Fiscalização e à Arrecadação dos Tributos Federais - GEFA,X
14715,10290,Lei 10.910/2004; Decreto 5.914/2006; Lei 11.890/2008,2º-B,2021-07-29 00:00:00,,,,Gratificação de Incremento da Fiscalização e da Arrecadação - GIFA,X
10295,10288,Lei 8112/90; Lei 9624/98,"Lei 8112/90, art. 62, §§ 2º e 5º; Lei 9624/98, arts. 2º e 3º",2008-09-30 15:52:52,,,,Gratificação Incorporada / Quintos e Décimos / VPNI,X
14717,10295,Lei 8.911/1994; Lei 9.624/1994,,2021-07-30 00:00:00,,,,Direito à Incorporação,X
14718,10295,Portaria 474/1987; Lei 7.597/1987; Lei 8.168/1991,,2021-07-30 00:00:00,,,,Portaria 474/87,X
14719,10295,Lei 9.527/1997; Lei 9.421/1996,,2021-07-30 00:00:00,,,,Reajuste,X
10310,10288,Lei 8112/90,"arts. 61, II, 63 a 66.",2008-09-30 15:52:52,,,,Gratificação Natalina/13º salário,X
10289,10288,Lei 8112/90,Art. 61,2008-09-30 15:52:52,,,,Gratificações da Lei 8.112/1990,X
10305,10288,,,2008-09-30 15:52:52,,,,Gratificações de Atividade,X
10718,10288,,,2008-09-30 15:52:52,,,,Gratificações Por Atividades Específicas,X
14720,10718,Lei 8.911/1994; Lei 9.030/1995; Lei 9.421/1996,2º,2021-07-30 00:00:00,,,,Função Comissionada Integral - 100%,X
14746,10718,Lei 9.266/96 revogada pela Lei 11.358/06,4º,2021-07-30 00:00:00,,,,Gratificação de Atividade de Risco,X
14721,10718,Lei Delegada 13/1992; MP 2.048/2000,1º ao 10; 59,2021-07-30 00:00:00,,,,Gratificação de Atividade Executiva - GAE,X
14749,10718,Lei 11.355/2006,"5º, II e 5º-B",2021-07-30 00:00:00,,,,"Gratificação de Desempenho da Carreira da Previdência, da Saúde e do Trabalho - GDPST",X
14725,10718,Lei 10.855/04,"6º, III",2021-07-30 00:00:00,,,,Gratificação de Desempenho de Atividade do Seguro Social - GDASS,X
14729,10718,Lei 11.357/2006,7º,2021-07-30 00:00:00,,,,Gratificação de Desempenho de Atividade Técnico-Administrativa e de Suporte - GDPGTAS,X
14724,10718,MP 2.150-39/01 Revogada pela Lei 10.302/01,56,2021-07-30 00:00:00,,,,Gratificação de Desempenho de Atividade Técnico-Administrativo Educacional - GDAE,X
14728,10718,Lei 11.784/2008,7º-A,2021-07-30 00:00:00,,,,Gratificação de Desempenho do Plano Geral de Cargos do Poder Executivo - GDPGPE,X
14726,10718,Lei 9.620/1998,10,2021-07-30 00:00:00,,,,Gratificação de Desempenho e Eficiência - GDE,X
14745,10718,Lei 8.460/92; Lei 9.527/97,25,2021-07-30 00:00:00,,,,Gratificação Especial de Localidade - GEL,X
14748,10718,Lei 10.971/2004,11,2021-07-30 00:00:00,,,,"Gratificação Específica de Atividade Docente do Ensino Fundamental, Médio e Tecnológico - GEAD",X
14727,10718,Lei 11.090/2005,32,2021-07-30 00:00:00,,,,Gratificação Específica de Publicação e Divulgação da Imprensa Nacional %u2013 GEPDIN,X
14722,10718,DL 2.211/84; Lei n. 7.923/89,1º ao 3º,2021-07-30 00:00:00,,,,Gratificação pelo Desempenho de Atividades de Apoio - GATA,X
14723,10718,DL 2.194/84; MP 2.229/01,1º ao 5º,2021-07-30 00:00:00,,,,Gratificação pelo Desempenho de Atividades Rodoviárias - GDAR,X
14747,10718,"Decreto-Lei n. 1.714/79; Lei 7.548/86, Revogada pela Lei 9.266/96",1º ao 3º,2021-07-30 00:00:00,,,,Gratificação por Operações Especiais - GOE,X
10323,10288,Lei 8112/90,art. 197,2008-09-30 15:52:52,,,,Inclusão de Dependente,X
10311,10288,CF,"art. 37, XV",2008-09-30 15:52:52,,,,Irredutibilidade de Vencimentos,X
10221,10288,CF,"Art. 37, XIII",2008-09-30 15:52:52,,,,Isonomia/Equivalência Salarial,X
14744,10221,CF; EC 41/2003; EC 47/2005,"Art. 40, § 8º; Art. 7º; Arts. 2º e 3º",2021-07-30 00:00:00,,,,Paridade Salarial,X
10312,10288,Lei 11.494/07; Lei 11.738/08,"Lei 11.494/07, art. 41; Lei 11.738/08, arts. 1º a 6º",2008-09-30 15:52:52,,,,Piso Salarial,X
10299,10288,Lei 5645/1970,arts. 1º a 15,2008-09-30 15:52:52,,,,Plano de Classificação de Cargos,X
11858,10288,,,2011-10-05 00:00:00,,,,Recebimento de bolsa de estudos,X
14241,10288,Lei 8.112/1990,"46, caput",2021-01-29 00:00:00,,,,Restituição ao Erário,X
10307,10288,CF,"art. 37, X",2008-09-30 15:52:52,,,,"Revisão Geral Anual (Mora do Executivo - inciso X, art. 37, CF 1988)",X
14742,10307,Lei 10.697/2003; CF,"1º (Lei 10.697/2003); 37, X (CF)",2021-07-30 00:00:00,,,,"Índice de 13,23%",X
14741,10307,Lei 10.698/2003; CF,"1º (Lei 10.698/2003); 37, X (CF)",2021-07-30 00:00:00,,,,"Índice de 14,23%",X
10249,10288,L 8.112/1990,"185 I c, 197 a 201",2008-09-30 15:52:52,,,,Salário-Família,X
10497,10288,CF,"art. 37, XI",2008-09-30 15:52:52,,,,Subsídios,X
10297,10288,L 8.112/1990,42,2008-09-30 15:52:52,,,,Teto Salarial,X
14707,10288,CPC; Lei 8.112/90,"297, parágrafo único, 520, I e II, e 302 (CPC); 46, §1º (Lei 8.112/90)",2021-07-29 00:00:00,,,,Valores Antecipados na Tutela Posteriormente Revogada/Cassada,X
10276,10219,,,2008-09-30 15:52:52,,,,Tempo de Serviço,X
10277,10276,Lei 8213/91,Arts. 55 e 57,2008-09-30 15:52:52,,,,Averbação / Contagem de Tempo Especial,X
10278,10276,CF,"Art. 201, § 9º",2008-09-30 15:52:52,,,,Averbação / Contagem Recíproca,X
11872,9985,,,2011-10-05 00:00:00,,,,Sistema de proteção especial a vítimas e a testemunhas,X
10417,9985,,,2008-09-30 15:52:52,,,,Sistema Nacional de Trânsito,X
10418,10417,Lei 9503/97,"Art. 19, VII",2008-09-30 15:52:52,,,,CNH - Carteira Nacional de Habilitação,X
10419,10417,Lei 9503/97,Art. 262,2008-09-30 15:52:52,,,,Liberação de Veículo Apreendido,X
10420,10417,Lei 9503/97,Arts. 130 a 135,2008-09-30 15:52:52,,,,Licenciamento de Veículo,X
10110,,,,,,,,DIREITO AMBIENTAL,X
9994,10110,CF; Lei 6938/81; CPC,"CF, art. 37, § 6º; Lei 6938/81, art. 14, § 1º; CPC, art. 927",2008-09-30 15:52:52,2023-11-30 15:15:01,,,Dano Ambiental,X
10116,10110,Lei 7802/89,art. 1º e segs.,2008-09-30 15:52:52,,,,Agrotóxicos,X
11828,10110,,,2011-10-05 00:00:00,,,,Área de Preservação Permanente,X
15302,10110,Lei nº 12.651/2012 (Código Florestal),"4º, § 6º, IV; 29 e 30",2023-11-30 15:28:37,,,,Cadastro Ambiental Rural,X
10438,10110,Lei 10406/02,art. 927,2008-09-30 15:52:52,2023-11-30 15:27:30,,,Dano Ambiental,X
15301,10110,Lei nº 6.938/1981,"14, § 1º",2023-11-30 15:11:52,,,,Dano Moral Coletivo Decorrente de Dano Ambiental,X
10114,10110,Lei 5197/67,art. 1º e segs.,2008-09-30 15:52:52,,,,Fauna,X
10113,10110,,,2008-09-30 15:52:52,,,,Flora,X
10119,10110,L 11.284/2006,,2008-09-30 15:52:52,,,,Gestão de Florestas Públicas,X
11822,10110,,,2011-10-05 00:00:00,,,,Mineração,X
15008,10110,CF; Lei 12.187/2009; Resolução CNJ 433/2021; Convenção-Quadro das Nações Unidas sobre Mudança do Clima,1º e ss (Convenção),2021-12-03 00:00:00,,,,Mudanças Climáticas,X
15300,10110,Lei nº 14.119/2021,"2º, IV",2023-11-30 15:04:55,,,,Pagamento por Serviços Ambientais,X
11830,10110,,,2011-10-05 00:00:00,,,,Patrimônio Cultural,X
